gender,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,GDP_per_capita,total_early_clicks
M,Lower Than A Level,0-10%,0-35,0,90,N,Fail,29325.385023898034,62.0
M,A Level or Equivalent,40-50%,0-35,0,90,N,Fail,29325.385023898034,125.0
F,HE Qualification,0-10%,0-35,0,30,N,Pass,29325.385023898034,200.0
M,Lower Than A Level,0-10%,0-35,0,60,N,Fail,29325.385023898034,87.0
F,Lower Than A Level,0-10%,0-35,0,60,N,Withdrawn,29325.385023898034,755.0
M,A Level or Equivalent,50-60%,0-35,0,90,N,Pass,29325.385023898034,180.0
F,HE Qualification,40-50%,35-55,0,90,N,Pass,29325.385023898034,1063.0
M,A Level or Equivalent,30-40%,0-35,0,90,N,Withdrawn,29325.385023898034,0.0
M,A Level or Equivalent,60-70%,0-35,0,30,N,Withdrawn,30300.0,91.0
M,HE Qualification,30-40%,35-55,0,60,N,Withdrawn,29325.385023898034,776.0
M,Lower Than A Level,20-30%,0-35,0,90,N,Withdrawn,29325.385023898034,71.0
F,Lower Than A Level,20-30%,35-55,0,120,N,Pass,29325.385023898034,105.0
M,A Level or Equivalent,70-80%,35-55,0,30,N,Fail,29325.385023898034,191.0
M,A Level or Equivalent,10-20,0-35,0,90,N,Fail,29325.385023898034,31.0
M,Lower Than A Level,0-10%,0-35,0,60,N,Withdrawn,30300.0,359.0
M,HE Qualification,50-60%,35-55,0,90,N,Pass,29325.385023898034,721.0
F,Lower Than A Level,10-20,0-35,0,60,Y,Withdrawn,29325.385023898034,6.0
M,A Level or Equivalent,30-40%,35-55,0,60,N,Withdrawn,29325.385023898034,0.0
M,Lower Than A Level,50-60%,0-35,0,90,Y,Withdrawn,29325.385023898034,187.0
F,Lower Than A Level,50-60%,0-35,0,70,N,Withdrawn,29325.385023898034,743.0
F,A Level or Equivalent,80-90%,0-35,0,60,N,Withdrawn,29325.385023898034,204.0
F,A Level or Equivalent,0-10%,0-35,0,60,Y,Pass,29325.385023898034,370.0
F,A Level or Equivalent,60-70%,0-35,0,90,Y,Withdrawn,29325.385023898034,226.0
M,A Level or Equivalent,70-80%,0-35,0,30,N,Withdrawn,29325.385023898034,23.0
F,A Level or Equivalent,60-70%,0-35,0,145,N,Pass,29325.385023898034,270.0
F,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,29325.385023898034,272.0
M,A Level or Equivalent,30-40%,0-35,0,90,N,Withdrawn,29325.385023898034,164.0
M,Lower Than A Level,40-50%,35-55,0,30,N,Fail,29325.385023898034,201.0
F,A Level or Equivalent,70-80%,35-55,0,90,N,Pass,29325.385023898034,667.0
M,HE Qualification,0-10%,35-55,0,30,N,Fail,29325.385023898034,375.0
M,Lower Than A Level,30-40%,0-35,0,60,N,Fail,30300.0,164.0
M,HE Qualification,50-60%,0-35,0,60,N,Withdrawn,29325.385023898034,3.0
M,A Level or Equivalent,80-90%,0-35,0,90,N,Fail,29325.385023898034,41.0
M,Lower Than A Level,20-30%,0-35,0,30,N,Pass,29325.385023898034,179.0
F,HE Qualification,20-30%,0-35,0,135,N,Withdrawn,29325.385023898034,216.0
F,Lower Than A Level,20-30%,0-35,0,120,N,Withdrawn,29325.385023898034,0.0
M,Lower Than A Level,30-40%,0-35,0,60,N,Withdrawn,29325.385023898034,0.0
M,HE Qualification,0-10%,0-35,0,60,N,Withdrawn,29325.385023898034,0.0
M,Lower Than A Level,90-100%,0-35,0,60,N,Fail,29325.385023898034,174.0
M,HE Qualification,70-80%,35-55,0,60,N,Withdrawn,29325.385023898034,0.0
M,Lower Than A Level,30-40%,0-35,0,150,N,Fail,29325.385023898034,170.0
M,Lower Than A Level,50-60%,0-35,0,60,Y,Withdrawn,29325.385023898034,20.0
M,A Level or Equivalent,80-90%,0-35,0,150,N,Pass,29325.385023898034,114.0
F,HE Qualification,30-40%,0-35,0,30,N,Pass,29325.385023898034,103.0
M,A Level or Equivalent,20-30%,0-35,0,60,N,Withdrawn,29325.385023898034,92.0
M,Lower Than A Level,40-50%,0-35,0,30,N,Distinction,29325.385023898034,565.0
F,A Level or Equivalent,60-70%,35-55,0,90,N,Withdrawn,29325.385023898034,2.0
M,A Level or Equivalent,50-60%,0-35,0,60,N,Distinction,29325.385023898034,368.0
M,A Level or Equivalent,60-70%,35-55,0,90,N,Withdrawn,29325.385023898034,28.0
M,A Level or Equivalent,20-30%,0-35,0,90,N,Withdrawn,29325.385023898034,271.0
M,Lower Than A Level,20-30%,0-35,0,60,N,Pass,30300.0,301.0
F,A Level or Equivalent,40-50%,0-35,0,90,N,Withdrawn,29325.385023898034,438.0
M,A Level or Equivalent,40-50%,0-35,0,30,N,Fail,29325.385023898034,108.0
F,A Level or Equivalent,40-50%,0-35,0,30,N,Distinction,29325.385023898034,201.0
F,HE Qualification,40-50%,35-55,0,150,Y,Withdrawn,29325.385023898034,0.0
M,A Level or Equivalent,50-60%,0-35,0,30,N,Pass,30300.0,139.0
M,HE Qualification,90-100%,0-35,0,30,N,Pass,29325.385023898034,59.0
M,A Level or Equivalent,60-70%,0-35,0,60,N,Fail,29325.385023898034,44.0
M,Post Graduate Qualification,,55<=,0,60,N,Distinction,29325.385023898034,322.0
F,Lower Than A Level,0-10%,35-55,0,90,N,Pass,29325.385023898034,875.0
F,A Level or Equivalent,,0-35,0,60,N,Fail,29325.385023898034,244.0
M,Lower Than A Level,0-10%,35-55,0,90,N,Withdrawn,29325.385023898034,168.0
F,HE Qualification,,0-35,0,90,N,Distinction,29325.385023898034,1366.0
M,A Level or Equivalent,60-70%,0-35,0,90,N,Withdrawn,29325.385023898034,0.0
M,Lower Than A Level,0-10%,0-35,0,90,N,Withdrawn,29325.385023898034,231.0
M,Lower Than A Level,90-100%,0-35,0,120,N,Withdrawn,29325.385023898034,79.0
M,Lower Than A Level,30-40%,0-35,0,150,N,Withdrawn,29325.385023898034,0.0
F,A Level or Equivalent,10-20,0-35,0,60,N,Pass,29325.385023898034,892.0
M,HE Qualification,70-80%,0-35,0,30,N,Pass,29325.385023898034,786.0
M,HE Qualification,60-70%,0-35,0,30,N,Withdrawn,29325.385023898034,56.0
F,A Level or Equivalent,90-100%,35-55,0,210,Y,Withdrawn,29325.385023898034,148.0
M,Lower Than A Level,,0-35,0,150,N,Withdrawn,29325.385023898034,0.0
M,Lower Than A Level,50-60%,35-55,0,60,Y,Withdrawn,29325.385023898034,0.0
M,Lower Than A Level,20-30%,0-35,0,150,N,Fail,30300.0,95.0
M,A Level or Equivalent,10-20,35-55,0,30,N,Fail,29325.385023898034,229.0
M,A Level or Equivalent,50-60%,0-35,0,30,N,Withdrawn,29325.385023898034,0.0
F,A Level or Equivalent,30-40%,35-55,0,30,N,Pass,29325.385023898034,204.0
M,Lower Than A Level,80-90%,0-35,0,30,N,Pass,29325.385023898034,329.0
M,A Level or Equivalent,10-20,35-55,0,90,N,Fail,29325.385023898034,216.0
F,Lower Than A Level,40-50%,0-35,0,90,Y,Withdrawn,29325.385023898034,0.0
M,A Level or Equivalent,20-30%,0-35,0,150,Y,Withdrawn,29325.385023898034,23.0
M,A Level or Equivalent,50-60%,0-35,0,80,N,Pass,27200.0,276.0
M,Lower Than A Level,10-20,0-35,0,90,N,Withdrawn,29325.385023898034,10.0
F,Lower Than A Level,90-100%,0-35,0,120,N,Pass,29325.385023898034,514.0
M,A Level or Equivalent,40-50%,0-35,0,60,N,Withdrawn,29325.385023898034,1.0
M,A Level or Equivalent,50-60%,0-35,0,30,N,Fail,29325.385023898034,214.0
M,Lower Than A Level,20-30%,0-35,0,90,N,Withdrawn,29325.385023898034,4.0
M,A Level or Equivalent,30-40%,0-35,0,270,N,Withdrawn,30300.0,0.0
M,Lower Than A Level,30-40%,0-35,0,90,N,Withdrawn,29325.385023898034,3.0
F,A Level or Equivalent,20-30%,35-55,0,60,N,Pass,29325.385023898034,268.0
M,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,29325.385023898034,206.0
M,Lower Than A Level,90-100%,35-55,0,60,N,Pass,29325.385023898034,522.0
M,A Level or Equivalent,40-50%,0-35,0,60,Y,Fail,29325.385023898034,38.0
F,A Level or Equivalent,60-70%,0-35,0,90,N,Withdrawn,29325.385023898034,0.0
M,Lower Than A Level,40-50%,0-35,0,30,Y,Withdrawn,29325.385023898034,210.0
F,A Level or Equivalent,0-10%,0-35,0,30,N,Withdrawn,29325.385023898034,72.0
M,Lower Than A Level,40-50%,0-35,0,30,N,Fail,29325.385023898034,33.0
M,Lower Than A Level,30-40%,0-35,0,90,N,Fail,29325.385023898034,241.0
F,Lower Than A Level,90-100%,35-55,0,60,N,Withdrawn,29325.385023898034,279.0
M,A Level or Equivalent,40-50%,0-35,0,60,N,Withdrawn,29325.385023898034,820.0
M,HE Qualification,20-30%,35-55,0,30,N,Fail,29325.385023898034,149.0
M,A Level or Equivalent,20-30%,0-35,0,30,N,Withdrawn,29325.385023898034,99.0
M,A Level or Equivalent,30-40%,0-35,0,60,N,Fail,29325.385023898034,396.0
M,HE Qualification,30-40%,0-35,0,30,N,Withdrawn,29325.385023898034,229.0
F,HE Qualification,70-80%,35-55,0,30,N,Pass,29325.385023898034,500.0
M,HE Qualification,90-100%,35-55,0,30,N,Distinction,29325.385023898034,856.0
M,HE Qualification,80-90%,0-35,0,30,N,Pass,29325.385023898034,211.0
F,A Level or Equivalent,90-100%,0-35,0,90,N,Withdrawn,29325.385023898034,374.0
F,A Level or Equivalent,70-80%,0-35,0,40,N,Distinction,29325.385023898034,293.0
M,Lower Than A Level,30-40%,35-55,0,30,N,Withdrawn,29325.385023898034,775.0
M,A Level or Equivalent,80-90%,0-35,0,150,Y,Fail,29325.385023898034,54.0
M,HE Qualification,0-10%,35-55,0,60,N,Fail,29325.385023898034,225.0
M,A Level or Equivalent,90-100%,0-35,0,90,N,Withdrawn,29325.385023898034,128.0
F,A Level or Equivalent,70-80%,0-35,0,120,N,Pass,29325.385023898034,282.0
F,A Level or Equivalent,20-30%,0-35,0,60,N,Withdrawn,29325.385023898034,154.0
M,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,29325.385023898034,151.0
F,HE Qualification,,35-55,0,60,N,Fail,27200.0,297.0
M,A Level or Equivalent,30-40%,0-35,0,90,Y,Pass,29325.385023898034,880.0
M,Lower Than A Level,40-50%,0-35,0,60,N,Withdrawn,29325.385023898034,190.0
F,HE Qualification,80-90%,0-35,0,120,N,Fail,29325.385023898034,48.0
M,A Level or Equivalent,70-80%,35-55,0,60,N,Withdrawn,30300.0,172.0
M,Lower Than A Level,0-10%,0-35,0,60,N,Pass,29325.385023898034,214.0
M,HE Qualification,50-60%,35-55,0,60,N,Withdrawn,29325.385023898034,0.0
M,A Level or Equivalent,70-80%,35-55,0,90,N,Distinction,27200.0,319.0
M,HE Qualification,40-50%,35-55,0,30,N,Distinction,29325.385023898034,1864.0
F,HE Qualification,20-30%,0-35,0,60,Y,Pass,29325.385023898034,49.0
M,A Level or Equivalent,0-10%,0-35,0,90,N,Withdrawn,29325.385023898034,173.0
M,A Level or Equivalent,40-50%,35-55,0,30,N,Distinction,29325.385023898034,762.0
M,HE Qualification,70-80%,0-35,0,30,N,Pass,29325.385023898034,264.0
F,A Level or Equivalent,,0-35,0,60,N,Pass,27200.0,180.0
M,Lower Than A Level,80-90%,0-35,0,45,N,Pass,30300.0,76.0
M,Post Graduate Qualification,30-40%,35-55,0,90,N,Withdrawn,29325.385023898034,46.0
M,Lower Than A Level,10-20,0-35,0,60,N,Withdrawn,29325.385023898034,0.0
F,A Level or Equivalent,50-60%,0-35,0,120,Y,Pass,29325.385023898034,407.0
F,HE Qualification,90-100%,0-35,0,60,Y,Fail,29325.385023898034,272.0
M,Lower Than A Level,70-80%,35-55,0,30,N,Fail,29325.385023898034,255.0
F,A Level or Equivalent,,0-35,0,90,N,Distinction,29325.385023898034,727.0
F,Lower Than A Level,20-30%,0-35,0,60,N,Withdrawn,29325.385023898034,0.0
M,A Level or Equivalent,,0-35,0,90,N,Pass,30300.0,183.0
M,A Level or Equivalent,50-60%,0-35,0,90,N,Fail,29325.385023898034,325.0
M,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,29325.385023898034,79.0
M,A Level or Equivalent,90-100%,0-35,0,90,N,Withdrawn,29325.385023898034,327.0
F,A Level or Equivalent,80-90%,35-55,0,90,N,Withdrawn,29325.385023898034,140.0
M,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,29325.385023898034,355.0
M,A Level or Equivalent,0-10%,0-35,0,60,N,Fail,30300.0,0.0
M,Lower Than A Level,40-50%,0-35,0,90,N,Withdrawn,29325.385023898034,452.0
M,A Level or Equivalent,10-20,0-35,0,30,N,Pass,29325.385023898034,68.0
F,Lower Than A Level,90-100%,0-35,0,75,N,Withdrawn,29325.385023898034,0.0
M,A Level or Equivalent,20-30%,0-35,0,180,N,Withdrawn,30300.0,356.0
M,Post Graduate Qualification,90-100%,35-55,0,120,N,Pass,29325.385023898034,472.0
M,A Level or Equivalent,60-70%,0-35,0,60,N,Withdrawn,29325.385023898034,46.0
F,HE Qualification,40-50%,0-35,0,60,N,Withdrawn,29325.385023898034,0.0
F,A Level or Equivalent,90-100%,0-35,0,170,N,Withdrawn,29325.385023898034,11.0
F,Lower Than A Level,0-10%,0-35,0,30,Y,Withdrawn,29325.385023898034,141.0
F,Lower Than A Level,0-10%,0-35,0,100,Y,Withdrawn,30300.0,7.0
M,A Level or Equivalent,90-100%,0-35,0,30,N,Fail,30300.0,23.0
M,Lower Than A Level,80-90%,0-35,0,60,N,Withdrawn,29325.385023898034,271.0
M,Lower Than A Level,10-20,0-35,0,180,N,Withdrawn,29325.385023898034,191.0
M,Lower Than A Level,90-100%,0-35,0,120,Y,Withdrawn,29325.385023898034,0.0
M,A Level or Equivalent,10-20,0-35,0,60,N,Withdrawn,29325.385023898034,43.0
M,HE Qualification,80-90%,0-35,0,30,N,Distinction,29325.385023898034,184.0
M,HE Qualification,90-100%,0-35,0,90,N,Distinction,29325.385023898034,800.0
M,Post Graduate Qualification,90-100%,0-35,0,60,N,Distinction,29325.385023898034,321.0
M,Lower Than A Level,20-30%,0-35,0,60,N,Fail,29325.385023898034,151.0
M,Lower Than A Level,80-90%,0-35,0,90,N,Withdrawn,29325.385023898034,79.0
F,HE Qualification,30-40%,0-35,0,30,N,Fail,29325.385023898034,85.0
M,HE Qualification,90-100%,55<=,0,70,N,Withdrawn,29325.385023898034,433.0
M,Lower Than A Level,,35-55,0,60,N,Withdrawn,29325.385023898034,423.0
M,A Level or Equivalent,50-60%,0-35,0,120,N,Withdrawn,29325.385023898034,0.0
M,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,29325.385023898034,158.0
M,Lower Than A Level,30-40%,0-35,0,45,N,Withdrawn,30300.0,188.0
M,Lower Than A Level,0-10%,0-35,0,210,N,Fail,29325.385023898034,5.0
F,Lower Than A Level,30-40%,35-55,0,130,Y,Withdrawn,29325.385023898034,18.0
M,A Level or Equivalent,0-10%,0-35,0,120,N,Fail,30300.0,203.0
M,Lower Than A Level,60-70%,0-35,0,30,N,Pass,27200.0,1003.0
M,A Level or Equivalent,40-50%,0-35,0,120,Y,Withdrawn,29325.385023898034,60.0
M,A Level or Equivalent,0-10%,0-35,0,90,N,Pass,29325.385023898034,161.0
M,Post Graduate Qualification,,35-55,0,30,N,Withdrawn,27200.0,200.0
F,A Level or Equivalent,0-10%,0-35,0,60,N,Fail,30300.0,101.0
M,A Level or Equivalent,10-20,0-35,0,60,N,Fail,30300.0,107.0
M,A Level or Equivalent,90-100%,35-55,0,60,N,Withdrawn,29325.385023898034,201.0
M,Lower Than A Level,30-40%,0-35,0,30,N,Withdrawn,29325.385023898034,24.0
F,A Level or Equivalent,90-100%,0-35,0,60,N,Distinction,29325.385023898034,273.0
M,HE Qualification,70-80%,35-55,0,90,N,Withdrawn,29325.385023898034,205.0
M,Lower Than A Level,60-70%,35-55,0,60,N,Withdrawn,30300.0,86.0
M,Lower Than A Level,80-90%,0-35,0,90,N,Withdrawn,29325.385023898034,388.0
M,Lower Than A Level,0-10%,35-55,0,30,N,Pass,29325.385023898034,108.0
M,Lower Than A Level,30-40%,0-35,0,60,N,Pass,29325.385023898034,480.0
M,HE Qualification,30-40%,0-35,0,60,N,Pass,29325.385023898034,271.0
F,Post Graduate Qualification,20-30%,35-55,0,60,N,Withdrawn,29325.385023898034,109.0
M,HE Qualification,30-40%,0-35,0,90,N,Withdrawn,29325.385023898034,4.0
M,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,29325.385023898034,134.0
M,A Level or Equivalent,80-90%,0-35,0,120,N,Fail,29325.385023898034,180.0
M,Lower Than A Level,,35-55,0,120,N,Withdrawn,29325.385023898034,0.0
F,Lower Than A Level,90-100%,35-55,0,30,Y,Fail,29325.385023898034,86.0
M,HE Qualification,80-90%,0-35,0,30,N,Withdrawn,29325.385023898034,289.0
M,Lower Than A Level,10-20,0-35,0,60,N,Withdrawn,30300.0,0.0
M,A Level or Equivalent,90-100%,0-35,0,30,N,Withdrawn,29325.385023898034,65.0
F,HE Qualification,70-80%,35-55,0,90,N,Pass,29325.385023898034,1271.0
F,Lower Than A Level,80-90%,0-35,0,30,N,Distinction,29325.385023898034,655.0
F,Lower Than A Level,10-20,35-55,0,60,Y,Withdrawn,29325.385023898034,105.0
M,Lower Than A Level,60-70%,35-55,0,60,N,Fail,29325.385023898034,1074.0
F,A Level or Equivalent,80-90%,0-35,0,30,N,Pass,29325.385023898034,436.0
M,No Formal quals,20-30%,0-35,0,60,N,Withdrawn,29325.385023898034,211.0
M,HE Qualification,20-30%,0-35,0,90,N,Fail,29325.385023898034,96.0
M,A Level or Equivalent,10-20,0-35,0,60,N,Fail,29325.385023898034,966.0
F,HE Qualification,0-10%,0-35,0,60,N,Withdrawn,29325.385023898034,140.0
M,A Level or Equivalent,20-30%,35-55,0,180,N,Fail,29325.385023898034,200.0
M,Lower Than A Level,60-70%,0-35,0,90,N,Withdrawn,29325.385023898034,0.0
M,Lower Than A Level,20-30%,0-35,0,60,N,Fail,29325.385023898034,0.0
F,A Level or Equivalent,20-30%,0-35,0,60,Y,Withdrawn,29325.385023898034,154.0
M,A Level or Equivalent,60-70%,35-55,0,45,N,Withdrawn,29325.385023898034,274.0
M,Lower Than A Level,90-100%,0-35,0,150,Y,Withdrawn,29325.385023898034,202.0
M,HE Qualification,60-70%,35-55,0,60,N,Distinction,29325.385023898034,279.0
M,Lower Than A Level,90-100%,0-35,0,30,N,Pass,29325.385023898034,188.0
F,A Level or Equivalent,20-30%,35-55,0,90,N,Withdrawn,29325.385023898034,180.0
M,Lower Than A Level,90-100%,0-35,0,60,N,Pass,29325.385023898034,469.0
M,A Level or Equivalent,70-80%,0-35,0,60,N,Fail,29325.385023898034,186.0
F,A Level or Equivalent,80-90%,0-35,0,120,N,Withdrawn,29325.385023898034,258.0
M,HE Qualification,80-90%,35-55,0,60,N,Withdrawn,30300.0,202.0
M,A Level or Equivalent,80-90%,0-35,0,90,N,Pass,29325.385023898034,53.0
F,Lower Than A Level,60-70%,35-55,0,60,N,Withdrawn,29325.385023898034,41.0
M,Lower Than A Level,20-30%,0-35,0,90,N,Withdrawn,29325.385023898034,321.0
M,Lower Than A Level,10-20,0-35,0,150,N,Withdrawn,29325.385023898034,192.0
F,No Formal quals,10-20,0-35,0,60,N,Pass,29325.385023898034,243.0
F,A Level or Equivalent,70-80%,0-35,0,90,N,Withdrawn,29325.385023898034,119.0
M,HE Qualification,80-90%,0-35,0,90,N,Distinction,29325.385023898034,401.0
F,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,29325.385023898034,180.0
F,A Level or Equivalent,30-40%,0-35,0,180,N,Withdrawn,30300.0,138.0
F,A Level or Equivalent,20-30%,0-35,0,30,N,Distinction,29325.385023898034,474.0
M,Lower Than A Level,40-50%,0-35,0,30,N,Fail,29325.385023898034,325.0
M,Lower Than A Level,50-60%,0-35,0,120,N,Withdrawn,29325.385023898034,68.0
M,Lower Than A Level,10-20,0-35,0,60,Y,Withdrawn,29325.385023898034,905.0
M,No Formal quals,50-60%,0-35,0,60,N,Withdrawn,29325.385023898034,11.0
F,A Level or Equivalent,90-100%,35-55,0,60,N,Withdrawn,29325.385023898034,0.0
M,A Level or Equivalent,10-20,0-35,0,30,N,Fail,29325.385023898034,212.0
M,Lower Than A Level,,0-35,0,90,Y,Pass,29325.385023898034,204.0
M,A Level or Equivalent,,35-55,0,120,N,Withdrawn,29325.385023898034,519.0
M,Lower Than A Level,60-70%,35-55,0,60,N,Pass,29325.385023898034,585.0
M,A Level or Equivalent,70-80%,0-35,0,90,N,Pass,29325.385023898034,148.0
M,Lower Than A Level,50-60%,0-35,0,75,N,Pass,29325.385023898034,334.0
M,A Level or Equivalent,60-70%,35-55,0,60,Y,Pass,29325.385023898034,424.0
M,Lower Than A Level,10-20,0-35,0,150,Y,Withdrawn,29325.385023898034,187.0
M,Lower Than A Level,20-30%,0-35,0,120,Y,Fail,29325.385023898034,311.0
M,A Level or Equivalent,50-60%,0-35,0,60,N,Fail,29325.385023898034,192.0
M,HE Qualification,20-30%,0-35,0,120,Y,Withdrawn,29325.385023898034,45.0
M,Lower Than A Level,50-60%,0-35,0,60,N,Withdrawn,29325.385023898034,227.0
F,A Level or Equivalent,50-60%,0-35,0,60,N,Withdrawn,29325.385023898034,127.0
M,A Level or Equivalent,10-20,0-35,0,30,N,Withdrawn,29325.385023898034,241.0
M,Lower Than A Level,50-60%,0-35,0,60,Y,Fail,29325.385023898034,29.0
M,Lower Than A Level,50-60%,0-35,0,60,N,Fail,29325.385023898034,105.0
F,Lower Than A Level,40-50%,0-35,0,30,Y,Withdrawn,29325.385023898034,114.0
M,A Level or Equivalent,70-80%,35-55,0,30,N,Withdrawn,29325.385023898034,1259.0
M,A Level or Equivalent,70-80%,0-35,0,60,Y,Pass,29325.385023898034,113.0
M,A Level or Equivalent,40-50%,0-35,0,180,Y,Withdrawn,29325.385023898034,0.0
F,HE Qualification,20-30%,0-35,0,30,N,Withdrawn,29325.385023898034,437.0
M,A Level or Equivalent,50-60%,0-35,0,60,N,Withdrawn,29325.385023898034,353.0
F,A Level or Equivalent,30-40%,0-35,0,120,Y,Fail,29325.385023898034,53.0
F,A Level or Equivalent,10-20,0-35,0,60,Y,Pass,29325.385023898034,272.0
M,Lower Than A Level,20-30%,0-35,0,60,N,Pass,30300.0,263.0
M,Lower Than A Level,60-70%,0-35,0,60,N,Withdrawn,29325.385023898034,282.0
F,Lower Than A Level,80-90%,0-35,0,60,N,Withdrawn,29325.385023898034,0.0
M,Lower Than A Level,90-100%,0-35,0,30,N,Withdrawn,29325.385023898034,67.0
M,A Level or Equivalent,60-70%,0-35,0,60,N,Fail,29325.385023898034,75.0
M,Lower Than A Level,70-80%,0-35,0,60,N,Fail,27200.0,156.0
M,HE Qualification,70-80%,35-55,0,90,N,Withdrawn,29325.385023898034,16.0
M,HE Qualification,0-10%,0-35,0,30,N,Fail,29325.385023898034,115.0
M,HE Qualification,40-50%,0-35,0,60,N,Withdrawn,29325.385023898034,0.0
M,A Level or Equivalent,20-30%,0-35,0,60,Y,Fail,29325.385023898034,101.0
M,A Level or Equivalent,80-90%,0-35,0,60,N,Withdrawn,29325.385023898034,212.0
M,A Level or Equivalent,0-10%,35-55,0,30,N,Fail,30300.0,367.0
M,Lower Than A Level,20-30%,0-35,0,30,Y,Withdrawn,29325.385023898034,149.0
M,HE Qualification,20-30%,0-35,0,30,N,Fail,30300.0,247.0
F,A Level or Equivalent,50-60%,0-35,0,120,N,Fail,29325.385023898034,315.0
M,A Level or Equivalent,10-20,35-55,0,30,N,Pass,29325.385023898034,438.0
M,Lower Than A Level,0-10%,35-55,0,150,N,Withdrawn,29325.385023898034,0.0
M,HE Qualification,90-100%,35-55,0,60,N,Distinction,29325.385023898034,177.0
M,Lower Than A Level,30-40%,0-35,0,90,N,Fail,29325.385023898034,29.0
M,A Level or Equivalent,70-80%,35-55,0,60,N,Pass,29325.385023898034,266.0
M,Lower Than A Level,10-20,35-55,0,60,N,Withdrawn,29325.385023898034,258.0
M,A Level or Equivalent,90-100%,0-35,0,90,N,Fail,29325.385023898034,398.0
M,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn,29325.385023898034,60.0
F,A Level or Equivalent,20-30%,0-35,0,60,Y,Withdrawn,29325.385023898034,29.0
M,HE Qualification,60-70%,0-35,0,30,N,Withdrawn,29325.385023898034,139.0
M,A Level or Equivalent,70-80%,0-35,0,90,N,Withdrawn,29325.385023898034,94.0
M,HE Qualification,30-40%,0-35,0,60,N,Pass,29325.385023898034,318.0
M,A Level or Equivalent,40-50%,0-35,0,90,Y,Withdrawn,29325.385023898034,254.0
F,Lower Than A Level,30-40%,35-55,0,90,N,Withdrawn,29325.385023898034,1.0
F,Lower Than A Level,40-50%,0-35,0,30,Y,Distinction,29325.385023898034,816.0
M,HE Qualification,90-100%,35-55,0,60,N,Withdrawn,29325.385023898034,7.0
M,Post Graduate Qualification,90-100%,35-55,0,60,N,Pass,29325.385023898034,386.0
M,HE Qualification,50-60%,35-55,0,30,N,Withdrawn,29325.385023898034,73.0
M,HE Qualification,80-90%,0-35,0,60,N,Pass,29325.385023898034,75.0
F,A Level or Equivalent,20-30%,0-35,0,60,N,Withdrawn,29325.385023898034,142.0
M,A Level or Equivalent,10-20,0-35,0,30,N,Withdrawn,29325.385023898034,3.0
F,A Level or Equivalent,70-80%,0-35,0,120,N,Withdrawn,30300.0,484.0
M,A Level or Equivalent,40-50%,35-55,0,120,N,Withdrawn,30300.0,0.0
F,A Level or Equivalent,0-10%,0-35,0,60,N,Pass,29325.385023898034,410.0
M,A Level or Equivalent,70-80%,0-35,0,150,N,Pass,29325.385023898034,429.0
M,A Level or Equivalent,10-20,0-35,0,30,N,Withdrawn,30300.0,0.0
F,Lower Than A Level,70-80%,35-55,0,120,N,Distinction,29325.385023898034,592.0
M,A Level or Equivalent,30-40%,0-35,0,60,N,Fail,29325.385023898034,65.0
M,Post Graduate Qualification,,0-35,0,30,N,Pass,29325.385023898034,247.0
F,HE Qualification,20-30%,0-35,0,90,N,Withdrawn,29325.385023898034,639.0
M,Lower Than A Level,40-50%,0-35,0,60,N,Withdrawn,29325.385023898034,4.0
M,HE Qualification,60-70%,35-55,0,60,N,Withdrawn,29325.385023898034,461.0
F,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,29325.385023898034,217.0
M,A Level or Equivalent,80-90%,0-35,0,60,N,Fail,29325.385023898034,119.0
M,A Level or Equivalent,30-40%,0-35,0,150,N,Fail,29325.385023898034,132.0
M,Post Graduate Qualification,90-100%,35-55,0,30,N,Distinction,29325.385023898034,718.0
M,Lower Than A Level,80-90%,0-35,0,60,N,Withdrawn,29325.385023898034,323.0
F,A Level or Equivalent,0-10%,0-35,0,60,N,Distinction,29325.385023898034,116.0
M,Lower Than A Level,10-20,35-55,0,90,N,Withdrawn,29325.385023898034,0.0
M,Lower Than A Level,50-60%,0-35,0,60,N,Withdrawn,29325.385023898034,425.0
F,A Level or Equivalent,40-50%,0-35,0,90,N,Withdrawn,29325.385023898034,0.0
M,Lower Than A Level,50-60%,0-35,0,60,N,Withdrawn,29325.385023898034,0.0
M,A Level or Equivalent,10-20,0-35,0,30,N,Fail,29325.385023898034,168.0
F,HE Qualification,50-60%,35-55,0,90,Y,Fail,29325.385023898034,484.0
M,Lower Than A Level,30-40%,0-35,0,60,Y,Pass,29325.385023898034,354.0
M,A Level or Equivalent,,35-55,0,60,N,Pass,29325.385023898034,533.0
M,A Level or Equivalent,20-30%,35-55,0,30,N,Fail,29325.385023898034,293.0
M,A Level or Equivalent,70-80%,35-55,0,60,N,Fail,29325.385023898034,277.0
